AvgStoryQ	MinStoryQ	MinCosSim	MinVariance	CCAMatchCount	CCAArtMatchRatio	CCAAvgMatchWgt	CCAAvgCosSim	ConceptCosSim	EntityCosSim	KeywordCosSim	ConceptJaccardSim	EntityJaccardSim	KeywordJaccardSim	TimeDiff	CoreTimeDiff	ExtractedDateJaccardSim	MatchingDateCount	MatchingDateRatio	CategorySim	HasSameLocation	DummyVar	ShouldMerge	Language pair
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d	string
																						class	meta
8.500	6.000	0.538	0.497	8.000	0.052	62.625	0.710	0.102	0.299	0.025	0.063	0.108	0.034	230.082	41.317	?	0.000	0.000	0.000	1.000	1.000	no	eng-spa	
16.500	8.000	0.476	0.225	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.895	4.300	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
12.000	7.000	0.424	0.270	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.841	1.450	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
21.000	12.000	0.544	0.321	30.000	0.211	45.333	0.718	0.262	0.709	0.181	0.224	0.435	0.132	8.043	5.600	?	0.000	0.000	0.000	?	1.000	yes	eng-spa	
8.500	6.000	0.400	0.390	12.000	0.060	78.167	0.592	0.368	0.487	0.231	0.154	0.224	0.091	77.250	90.800	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
9.000	8.000	0.664	0.545	18.000	0.327	60.889	0.715	0.137	0.207	0.111	0.067	0.091	0.053	111.659	217.400	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
12.500	10.000	0.519	0.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.945	19.100	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-spa	
15.000	4.000	0.415	0.407	0.000	0.000	0.000	0.000	0.083	0.253	0.000	0.020	0.048	0.000	11.624	11.200	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
6.500	5.000	0.388	0.349	8.000	0.062	86.500	0.601	0.142	0.093	0.186	0.032	0.050	0.023	14.592	11.417	?	0.000	0.000	0.000	?	1.000	no	eng-spa	
32.000	17.000	0.789	0.156	0.000	0.000	0.000	0.000	0.049	0.154	0.016	0.043	0.091	0.017	5.319	4.800	?	0.000	0.000	0.000	0.000	1.000	no	deu-spa	
8.000	7.000	0.529	0.555	11.000	0.079	53.091	0.602	0.322	0.224	0.395	0.133	0.109	0.154	202.760	166.150	1.000	1.000	1.000	0.000	?	1.000	no	deu-eng	
